
3123,1496,185
3134,1462,187
1575,1279,2
1469,79,60
1212,449,62
1255,946,62-C10
1488,1038,62-C11
1521,1064,62-C12
1327,1236,62-C13
1291,1207,62-C14
1112,1268,62-C15
1079,1238,62-C16
800,1158,62-C17
767,1127,62-C18
648,1283,62-C19
634,1253,62-C20
624,1062,62-C21
592,1034,62-C22
491,887,62-C23
480,858,62-C24
416,692,62-C25
386,664,62-C26
538,543,62-C27
530,501,62-C28
286,415,62-C29
685,770,62-C3
313,403,62-C30
515,361,62-C31
544,346,62-C32
714,797,62-C4
855,953,62-C5
886,981,62-C6
1068,1037,62-C7
1091,1070,62-C8
1234,914,62-C9
1848,824,62-H1
802,678,62-H10
682,595,62-H11
849,386,62-H12
783,283,62-H13
679,219,62-H14
437,393,62-H15
588,696,62-H16
815,1339,62-H17
960,1174,62-H18
1864,1045,62-H2
1742,885,62-H3
1745,1068,62-H4
1656,1119,62-H5
1398,982,62-H6
1116,883,62-H7
1044,823,62-H8
887,750,62-H9
990,333,64
1864,1253,70
2419,2110,78
2487,2093,80
